공고날짜,발주청,시도,공고번호,입찰날짜,연면적,대지면적,예가율,세대수,기초금액,1순위예가율,낙찰하한율
2022.7.14,서울특별시 서초구,서울특별시 ,20220716256,2022.7.25,75558,7601,1.005948,835,3377042000,,0.8045
2022.7.13,경기도 양주시,경기도 ,20220715947,2022.7.22,71324,9982,1.00919,427,1725872660,1.0094918,0.8295
2022.7.11,충청남도 홍성군,충청남도 ,20220712050,2022.7.21,82440,24025,0.993055,470,2043800521,0.9932582,0.8295
2022.7.8,경기도 용인시,경기도 ,20220709546,2022.7.21,65825,16268,1.003508,378,1721992213,1.00408,0.8295
2022.7.12,대구광역시,대구광역시,20220713644,2022.7.21,109668,9283,0.98905,540,3487402271,0.9892298,0.8045
2022.7.8,경기도 의왕시,경기도 ,20220642641,2022.7.19,148228,52642,0.989215,900,3292843000,0.9892566,0.8045
2022.7.7,경기도 평택시,경기도 ,20220708934,2022.7.19,218441,88191,1.010273,1255,3655344430,1.0120504,0.7295
2022.7.6,경상남도 창원시,경상남도 ,20220703982,2022.7.19,170523,59422,0.99097,998,4292311251,0.9914637,0.8045
2022.7.6,경상남도 창원시,경상남도 ,20220703909,2022.7.19,165975,53120,1.010045,967,4124085067,1.0114393,0.8045
2022.7.4,부산광역시 사상구,부산광역시 ,20220636801,2022.7.18,139161,47838,0.99585,840,4232348397,0.9958518,0.8045
2022.7.6,전라북도 군산시,전라북도 ,20220705164,2022.7.15,128069,35431,0.985925,704,3257719592,0.9874248,0.8045
2022.7.4,인천광역시 경제자유구역청,인천광역시 ,20220703007,2022.7.15,113280,42347,1.006245,670,2550079715,1.0065804,0.8045
2022.7.4,인천광역시 경제자유구역청,인천광역시 ,20220703064,2022.7.15,101192,34541,0.985348,560,2425661637,0.9862349,0.8045
2022.7.1,경기도 이천시,경기도 ,20220642424,2022.7.13,157599,45553,0.996838,937,4084826269,0.9968771,0.8045
2022.7.1,경기도 이천시,경기도 ,20220642351,2022.7.13,134447,38619,0.995143,885,3505517944,0.9954034,0.8045
2022.7.5,제주특별자치도 제주시,제주특별자치도 ,20220704519,2022.7.12,10876,8423,0.988893,90,501567600,0.9941202,0.8495
2022.6.23,서울특별시 은평구,서울특별시 ,20220632210,2022.7.12,363149,111665,0.993713,2451,7788687000,0.9964,0.7295
2022.6.30,서울특별시 중랑구,서울특별시 ,20220642963,2022.7.12,21764,1594,1.00085,351,827649000,1.0012412,0.8295
2022.6.29,경기도 용인시,경기도 ,20220640664,2022.7.11,42823,9667,1.010158,225,1493099207,1.0115203,0.8495
2022.6.28,울산광역시 남구,울산광역시 ,20220639155,2022.7.8,72957,11760,0.99846,402,1658667561,0.9986214,0.8295
2022.6.29,대구광역시,대구광역시,20220640190,2022.7.8,155562,19239,1.009845,677,4108558131,1.0100002,0.8045
2022.6.22,부산광역시 연제구,부산광역시 ,20220631818,2022.7.4,53245,15090,0.984733,334,1288664226,0.9871547,0.8295
2022.6.22,서울특별시 강북구,서울특별시 ,20220631730,2022.7.4,20613,1895,1.009673,426,774217997,1.0170609,0.8295
2022.6.22,충청남도 아산시,충청남도 ,20220628156,2022.7.4,81972,29258,0.988565,438,1958108567,0.9886988,0.8295
2022.6.21,전라남도 장흥군,전라남도 ,20220626697,2022.7.4,46911,16710,0.997863,295,982705251,0.9983874,0.8495
2022.6.22,대전광역시,대전광역시,20220632235,2022.7.1,166761,45088,1.002383,1029,2741234960,1.0031195,0.7295
2022.6.22,대전광역시,대전광역시,20220632359,2022.7.1,114082,31211,0.996365,725,1864903860,0.9966006,0.8045
2022.6.21,인천광역시 계양구,인천광역시 ,20220630884,2022.7.1,57187,13004,0.995855,340,1742839420,0.9960598,0.8295
2022.6.22,경기도 화성시,경기도 ,20220632349,2022.7.1,37876,24028,0.999843,166,1213634822,0.9999999,0.8495
2022.6.20,충청남도 예산군,충청남도 ,20220625755,2022.6.30,135884,40154,0.991983,601,2175023128,0.9922351,0.8045
2022.6.15,서울특별시 동작구,서울특별시 ,20220620512,2022.6.27,90540,13843,1.012875,608,3024525177,1.0143593,0.8045
2022.6.15,강원도 강릉시,강원도 ,20220617861,2022.6.27,44380,12116,0.99534,176,1271540252,0.995766,0.8495
2022.6.15,인천광역시 계양구,인천광역시 ,20220615544,2022.6.24,194392,48025,0.999508,1370,4800329030,0.99998,0.7295
2022.6.14,인천광역시 서구,인천광역시 ,20220616152,2022.6.24,152551,46063,0.992995,875,3206592466,0.9930982,0.8045
2022.6.15,강원도 속초시,강원도 ,20220621965,2022.6.24,98565,8387,1.010325,546,2320825960,1.013767,0.8045
2022.6.16,제주특별자치도 제주시,제주특별자치도 ,20220621492,2022.6.23,29790,9998,0.998885,136,1185552430,0.9989279,0.8495
2022.6.14,전라북도 군산시,전라북도 ,20220616795,2022.6.23,34358,9998,1.007193,219,666240808,1.0078863,0.8495
2022.6.14,경기도 수원시,경기도 ,20220616161,2022.6.23,87190,30621,1.000355,482,2696873770,1.0004489,0.8295
2022.6.13,경기도 부천시,경기도 ,20220613751,2022.6.23,24121,6166,0.993098,189,712976920,0.9941984,0.8495
2022.6.10,경기도 부천시,경기도 ,20220612582,2022.6.23,9438,2842,0.99772,100,308445055,0.9982552,0.8495
2022.6.13,서울특별시 용산구,서울특별시 ,20220613832,2022.6.23,157352,36675,0.997423,750,4322646678,0.9975601,0.8045
2022.6.13,울산광역시 남구,울산광역시 ,20220614912,2022.6.22,49709,8683,1.012385,302,1653972548,1.012675,0.8295
2022.6.13,경기도 화성시,경기도 ,20220615876,2022.6.22,130870,61822,1.000978,640,2728964791,1.0014702,0.8045
2022.6.13,경기도 화성시,경기도 ,20220615891,2022.6.22,128952,61783,1.007135,616,2688740289,1.0073661,0.8045
2022.6.13,경기도 화성시,경기도 ,20220615372,2022.6.22,111547,53773,0.987228,660,2182038254,0.98949,0.8045
2022.6.9,경기도 수원시,경기도 ,20220609479,2022.6.20,24096,8378,1.000695,128,834929900,1.0011999,0.8495
2022.6.8,강원도 원주시,강원도 ,20220606049,2022.6.17,41115,12838,0.991898,353,1063492082,0.992758,0.8295
2022.6.8,대구광역시,대구광역시,20220607710,2022.6.17,54474,16358,1.00123,316,1518746877,1.0013,0.8295
2022.6.3,경기도 의정부시,경기도 ,20220604047,2022.6.16,16591,4374,0.995958,121,613356881,0.9968,0.8495
2022.6.3,경상북도 포항시,경상북도 ,20220603029,2022.6.15,116664,33242,0.996493,678,3092570000,0.9966324,0.8045
2022.6.3,전라북도 군산시,전라북도 ,20220602454,2022.6.14,152261,40430,1.000695,873,3301528597,1.0007143,0.8045
2022.5.31,충청남도 천안시,충청남도 ,20220545193,2022.6.14,94899,27635,0.986895,592,2145633280,0.9882978,0.8045
2022.5.31,서울특별시 관악구,서울특별시 ,20220544823,2022.6.14,79158,22463,1.003518,571,2299006468,1.00354,0.8045
2022.6.2,경기도 양주시,경기도 ,20220602236,2022.6.13,162641,44508,0.998783,1172,3680562610,0.9991339,0.7295
2022.6.2,경기도 오산시,경기도 ,20220601055,2022.6.13,59967,22254,0.999168,380,1457677955,0.99958,0.8295
2022.6.2,경기도 오산시,경기도 ,20220601226,2022.6.13,42443,15491,1.006463,264,1071568782,1.0066828,0.8495
2022.5.31,경상남도 양산시,경상남도 ,20220543563,2022.6.10,52808,14283,0.983618,300,1560425833,0.9873984,0.8295
2022.5.30,서울특별시 강북구,서울특별시 ,20220541813,2022.6.10,20613,1895,0.99678,426,774217997,0.9992301,0.8295
2022.5.31,충청남도 아산시,충청남도 ,20220544044,2022.6.10,89126,26421,1.002543,498,1495534420,1.0027562,0.8295
2022.5.30,전라북도 익산시,전라북도 ,20220542832,2022.6.9,45873,13737,0.996373,298,1402950917,0.9966699,0.8495
2022.5.26,경기도 성남시,경기도 ,20220537823,2022.6.9,15911,3930,1.004673,145,613740541,1.0061701,0.8495
2022.5.30,경상남도 김해시,경상남도 ,20220541651,2022.6.9,178656,52137,0.994808,922,4709290874,0.994829,0.8045
2022.5.25,충청북도 진천군,충청북도 ,20220536623,2022.6.8,65256,20996,1.00458,679,1197087731,1.004794,0.8045
2022.5.31,서울특별시 영등포구,서울특별시 ,20220544850,2022.6.8,44852,3767,0.999838,597,1428418000,1.0000998,0.8045
2022.5.25,충청남도 천안시,충청남도 ,20220536870,2022.6.7,212865,59850,0.993813,1284,5001317000,0.9940732,0.7295
2022.5.25,충청남도 천안시,충청남도 ,20220536499,2022.6.7,197292,54918,1.01293,1199,4486422340,1.0132658,0.7295
2022.5.25,강원도 원주시,강원도 ,20220535668,2022.6.7,181678,54579,1.002608,975,4380726091,1.0031481,0.8045
2022.5.25,충청남도 천안시,충청남도 ,20220536845,2022.6.7,80910,41186,1.004335,453,1997680480,1.0043716,0.8295
2022.5.24,경기도 용인시,경기도 ,20220535213,2022.6.7,14574,4049,1.007498,94,505154745,1.0089741,0.8495
2022.5.23,인천광역시 서구,인천광역시 ,20220531989,2022.6.3,10170,3033,0.984175,91,408271617,0.9959702,0.8495
